trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-206.7137411031956,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-38.20328878253487,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,11,-19.370841073611064,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-157.62728966506265,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-98.94600629200613,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-10.299582272451566,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-110.61485375185798,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-57.621172942470245,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-117.02787634158344,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-83.92693935781536,"{0: 29, 1: 0, 2: 4, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-143.54248411449024,"{0: 20, 1: 0, 2: 8, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,17,-20.675151561257028,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-57.152218859784824,"{0: 27, 1: 0, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-76.44221962124101,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-14.969296262380949,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-138.0834521304974,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-83.19417556631284,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-63.940061605435396,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-165.58487732574994,"{0: 25, 1: 0, 2: 7, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-61.409041459410275,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-156.3906730339782,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-13.111639362473467,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,16,9.245053863414453,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-69.1917864667002,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",35,0,-163.62906441095785,"{0: 26, 1: 0, 2: 5, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-157.6475392033212,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,15,-15.10784236951035,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-336.07767987955117,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 8}",0
9,True,"{'a': 0, 'e': 0}",25,15,-53.5662206879233,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-88.65840760481268,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
