trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-145.97603744691003,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-146.9596139644397,"{0: 12, 1: 2, 2: 1, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985}",25,0,-186.48011122378972,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-94.05429415289348,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",30,0,-76.97167636020453,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-86.4535615374532,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-91.72402381395173,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-118.73064461849734,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",30,0,-167.57889994224922,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-79.62296896670898,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-60.63307149657791,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.94}",30,19,-55.977224227637,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-92.68105673470234,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-110.27732257964186,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-96.85463420249535,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,0,-177.55145178288672,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",1
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-80.20109270767844,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-55.38239137553878,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-93.93064661627287,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-141.36537587279625,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",25,0,-76.15713545391573,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-115.5934226187997,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",20,0,-23.11882080264082,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-53.15517078706831,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",30,0,-124.51364523481963,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-157.37858847031706,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,0,-161.49026495162568,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,11,-54.57003326196907,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",20,0,-123.14606255132595,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,2,-167.38950011087155,"{0: 19, 1: 0, 2: 3, 3: 4, 4: 2}",1
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",30,0,-335.31515298069553,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 7}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,9,-55.05887941845905,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",25,7,-36.512894273850996,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-111.30413226583136,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",25,0,-116.00244803433137,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",30,0,-36.78648069537846,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",25,0,-190.32497743039465,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-17.183228588333545,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",25,0,-310.85879239877573,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 5}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-35.78398618586484,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",25,0,-246.40456258616518,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-42.92552605802034,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",25,3,-25.759901923671528,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-10.083904364080627,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,0,-178.9404836905872,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,-61.82739836644161,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,0,2.7100213983646433,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-63.03926138170298,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,0,-96.84216928426235,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-101.53292483077225,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",30,18,12.010827360750717,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",35,0,-113.69254840672194,"{0: 26, 1: 2, 2: 4, 3: 1, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",25,0,-44.34177257898837,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",25,14,-10.551383601289224,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,0,1.7255517868555166,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",30,12,-5.887057840783005,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",25,2,-59.03498534745391,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,15,-2.176129728629352,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",20,0,17.876127382682512,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-88.0825752291842,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,0,-35.58780462370009,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",35,0,-112.59402263721158,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,1,-10.298880240086465,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-39.538318195533826,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",25,0,-74.27261128589066,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-8.481767132385162,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",20,0,-67.73022177706119,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",30,12,-4.404308058266331,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,2,-33.06912953009333,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-74.40809735151726,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",20,9,-20.46318576659577,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
