trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-9.490526282946288,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.40745502602925,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.4463152113773,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.66163587836972,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.26674608406807,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-274.67887023379865,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 5}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.75817819028211,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.20036359692926,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.4931731459039,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-295.2064937113174,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 6}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.85072865546914,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.36163188516636,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.10081314284527,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.34712184383709,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,16,-24.851395303468326,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-22.655914736109082,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.51524922357225,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.24054580353922,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.8592193602209,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-140.23734249146497,"{0: 20, 1: 6, 2: 6, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.481754839171856,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-39.43544251852727,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.51298375233678,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-121.58672218128734,"{0: 15, 1: 8, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.62143235041081,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.95698090036083,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-182.11006272258194,"{0: 7, 1: 4, 2: 5, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-77.30080868151947,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.91717368914067,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,10,-36.50625198285905,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
